docker compose -f docker/docker-compose.dev.yml logs --tail=100 | grep "error"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:43:52.775Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:44:22.777Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:44:52.777Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:45:22.775Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:45:52.777Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:46:22.776Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:46:52.779Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:47:22.769Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:47:52.771Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:48:22.773Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:48:52.784Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:49:22.778Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:49:52.781Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:50:22.786Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:50:52.796Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:51:22.780Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:51:52.793Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-loki            | failed parsing config: /etc/loki/loki-config.yml: yaml: unmarshal errors:
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:27:24.339Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:27:25.340Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:27:54.340Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:27:55.340Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:28:24.338Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:28:25.338Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:28:54.337Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:28:55.338Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:29:24.337Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:29:25.338Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:38:54.341Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:38:55.342Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:39:24.339Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:39:25.340Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:39:54.334Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:39:55.334Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:40:24.334Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:40:25.334Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:40:54.334Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:40:55.334Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:41:24.334Z level=ERROR source=collector.go:175 msg="Error opening connection to database" err="error querying postgresql version: pq: database \"friendly_aep_dev\" does not exist"
friendly-aep-dev-postgres-exporter  | time=2026-04-15T22:41:25.335Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="Error opening connection to database (postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable): pq: database \"friendly_aep_dev\" does not exist" dsn="postgresql://friendly:PASSWORD_REMOVED@postgres:5432/friendly_aep_dev?sslmode=disable"
